Название товара,Цена,Оценка,Кол-во оценок,Издательство,Серия,Автор,Переплет,Кол-во страниц,Год издания,Размеры,Вес,Раздел_Unknown,Раздел_Авантюрно-приключенческий роман,Раздел_Боевое фэнтези,Раздел_Вестерны,Раздел_Героическая фантастика,Раздел_Героическое фэнтези,Раздел_Графические романы,Раздел_Детективы,Раздел_Журналистские расследования,Раздел_Зарубежная драматургия,Раздел_Зарубежная сентиментальная проза,Раздел_Зарубежная фантастика,Раздел_Зарубежное фэнтези,Раздел_Зарубежные детективы,Раздел_Зарубежные любовные романы,Раздел_Зарубежные приключения,Раздел_Зарубежный фольклор,Раздел_Интеллектуальная проза,Раздел_Историческая проза,Раздел_Исторические детективы,Раздел_Исторические любовные романы,Раздел_Кино и книги,Раздел_Классическая зарубежная литература,Раздел_Классическая поэзия,Раздел_Классическая русская литература,Раздел_Классические детективы,Раздел_Книги на английском языке,Раздел_Комиксы для детей,Раздел_Космическая фантастика,Раздел_Криминальные боевики,Раздел_Культурология. Искусствоведение,Раздел_Любовное фэнтези,Раздел_Любовный роман,Раздел_Манга,Раздел_Мифы и легенды,Раздел_Научная фантастика,Раздел_Национальные кухни,Раздел_Остросюжетные любовные романы,Раздел_Поэзия,Раздел_Русская драматургия,Раздел_Русская сентиментальная проза,Раздел_Русские детективы,Раздел_Русский фольклор,Раздел_Русское фэнтези,Раздел_Сказки и притчи,Раздел_Современная зарубежная проза,Раздел_Современная русская проза,Раздел_Современные детективы,Раздел_Современные любовные романы,Раздел_Социальная фантастика,Раздел_Триллеры,Раздел_Ужасы. Мистика,Раздел_Фантастика и фэнтези для подростков,Раздел_Эпос и фольклор другие издания
1,0.2824707846410684,0.0,0.0,7,0,1,1,766,2024,311.75,0.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3151919866444074,0.97,0.0520833333333333,3,1,1,1,736,2024,311.75,0.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2140233722871452,0.94,0.1180555555555555,1,1,1,1,480,2024,267.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.0781302170283806,0.94,0.0197569444444444,3,1,1,2,320,2024,207.0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1823038397328881,0.0,0.0,7,0,1,1,286,2024,266.5,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.0220367278797996,0.75,0.0080902777777777,2,1,1,1,192,2021,305.3,0.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0938230383973288,0.86,0.0037847222222222,1,1,1,2,256,2023,207.0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.0594323873121869,0.81,1.0,1,1,1,2,224,2024,207.0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0213689482470784,0.0,0.0,2,0,1,1,256,2022,268.55,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.0874791318864774,0.9,0.0279513888888888,1,1,1,2,256,2024,207.0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
